address,lat,lon
"Bompas Town,Deoghar, India",,
"Mustafapur,Patna, India",,
"Ashopur,Patna, India",,
"Mohgaon,Nagpur, India",20.8036003,78.9474213
"Shivpuri,Patna, India",25.5827935,85.0978318
"Arya Samaj Mandir Road,Patna, India",25.6224404,85.0490195
"Kankarbagh,Patna, India",25.6018851,85.166661
"Booty More,Ranchi, India",23.3954225,85.3843646
"Rajeev Nagar,Patna, India",,
"Hanuman Nagar,Patna, India",25.5910105,85.1601143
"New Patliputra Colony,Patna, India",,
"Vasundhara,Ghaziabad, India",28.6619725,77.3732972
"Deepatoli,Ranchi, India",,
"Khajpura,Patna, India",25.6053022,85.0782578
"Lalji Tola,Patna, India",,
"Exhibition Road,Patna, India",25.6142646,85.1439958
"Morabadi,Ranchi, India",23.390876,85.3278238
"R M S Colony,Patna, India",,
"Kidwaipur Postal Colony,Patna, India",,
"New Dak Bunglow Road,Patna, India",,
"Kurji,Patna, India",25.6426637,85.1004656
"Vivek Vihar Colony,Patna, India",,
"RPS Nagar,Patna, India",,
"Parsa Bazar,Patna, India",25.5496823,85.1190424
"Noida Extension,Greater Noida, India",28.6063158,77.432198
"Sector 152,Noida, India",28.5705399,77.3228931
"Zeta,Greater Noida, India",,
"Sector 150,Noida, India",28.5705399,77.3228931
"Dera Bassi,Chandigarh, India",30.5848605,76.8452066
"Noida Extension,Noida, India",28.6063158,77.432198
